Team: 100 Thieves, Player: Boostio, Mouse: Lamzu Maya X Pink, Hz: 8000.0, DPI: 800.0, Sens: 0.233, eDPI: 186.4, Scoped Sens: 1.0, Monitor: LG ULTRAGEAR 27GN750-B, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Rouge, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: HyperX Cloud II, Chair: NULL
Team: 100 Thieves, Player: Nadeshot, Mouse: G-Wolves Hati S+ 4K, Hz: 1000.0, DPI: 800.0, Sens: 0.35, eDPI: 280.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Higround Performance Mousepad, Keyboard: Custom Keyboard, Headset: Sennheiser HD 600, Chair: Herman Miller Embody
Team: 100 Thieves, Player: Zander, Mouse: Logitech G Pro X Superlight Magenta, Hz: 4000.0, DPI: 1600.0, Sens: 0.105, eDPI: 168.0, Scoped Sens: 0.95, Monitor: ZOWIE XL2566X+, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero XSoft Black, Keyboard: Wooting 60HE+, Headset: HyperX Cloud III Wireless, Chair: Logitech G x Herman Miller Embody
Team: 100 Thieves, Player: Cryocells, Mouse: Lamzu Maya X Purple Shadow, Hz: 8000.0, DPI: 1600.0, Sens: 0.08, eDPI: 128.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566X+, Resolution: 1440x1080, Mousepad: Artisan Ninja FX Zero Soft Orange, Keyboard: Higround Snowstone Summit 2.0 65, Headset: HyperX Cloud Stinger II, Chair: Secretlab Titan EVO 2022
Team: 100 Thieves, Player: Asuna, Mouse: Razer DeathAdder V2, Hz: 1000.0, DPI: 1400.0, Sens: 0.26, eDPI: 364.0, Scoped Sens: 0.7, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero Soft Black, Keyboard: Higround Basecamp 65, Headset: HyperX Cloud II, Chair: Herman Miller Embody
Team: 100 Thieves, Player: eeiu, Mouse: Logitech G Pro X Superlight 2 Black, Hz: 2000.0, DPI: NULL, Sens: NULL, eDPI: NULL, Scoped Sens: 1.0, Monitor: ZOWIE XL2546, Resolution: 1920x1080, Mousepad: Artisan Hayate Otsu Soft Black, Keyboard: Logitech G Pro X Keyboard, Headset: NULL, Chair: NULL
Team: 2GAME ESPORTS, Player: lz, Mouse: VAXEE OUTSET AX, Hz: 1000.0, DPI: 800.0, Sens: 0.4, eDPI: 320.0, Scoped Sens: -2.0, Monitor: ZOWIE XL2546, Resolution: 1920x1080, Mousepad: SteelSeries QcK Heavy, Keyboard: Logitech G Pro K/DA Keyboard, Headset: HyperX Cloud II, Chair: NULL
Team: 2GAME ESPORTS, Player: DeNaro, Mouse: Razer Viper Ultimate, Hz: 1000.0, DPI: 400.0, Sens: 0.52, eDPI: 208.0, Scoped Sens: 1.0, Monitor: Acer Predator XB252Q, Resolution: 1920x1080, Mousepad: Razer Gigantus, Keyboard: HyperX Alloy FPS, Headset: NULL, Chair: NULL
Team: 2GAME ESPORTS, Player: gobera, Mouse: Logitech G Pro X Superlight Black, Hz: 1000.0, DPI: 800.0, Sens: 0.3, eDPI: 240.0, Scoped Sens: 1.0, Monitor: ASUS TUF VG259QM, Resolution: 1280x960, Mousepad: Lethal Gaming Gear Saturn Pro V2, Keyboard: Logitech G Pro Keyboard, Headset: HyperX Cloud II, Chair: NULL
Team: 2GAME ESPORTS, Player: silentzz, Mouse: Logitech G Pro X Superlight Black, Hz: 1000.0, DPI: 800.0, Sens: 0.4, eDPI: 320.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546, Resolution: 1920x1080, Mousepad: GameSense Radar Red, Keyboard: SteelSeries Apex Pro TKL, Headset: NULL, Chair: NULL
Team: 2GAME ESPORTS, Player: spikeziN, Mouse: Logitech G Pro X Superlight Black, Hz: 1000.0, DPI: 800.0, Sens: 0.24, eDPI: 192.0, Scoped Sens: NULL, Monitor: ZOWIE XL2546, Resolution: 1280x882, Mousepad: Artisan FX Hien XSoft Black, Keyboard: Wooting 60HE+, Headset: HyperX Cloud III, Chair: MAXNOMIC Dominator
